Var1,Var2,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M22,M23
3,1,1.1960625,0.850843749999999,0.26,0.717465708687133,0.711370643256518,0.928750587866436,431.191440780006,324.21875,179.6875,660.15625,222.081935091193,2.68716411942015,-4.49109222607982,3.58858811351591,9.06609632346968,6.07868626897779,0,A
3,1,1.30190625,1.02434375,0.185,0.805890259709087,0.786803005208708,0.928902330716977,432.609410902233,316.40625,191.40625,664.0625,213.516708844646,-2.00343068618573,-7.53868067544033,3.34152579531732,9.36573051895643,3.90307648609781,0,A
3,1,1.7078125,1.41615625,0.21,0.782236372618982,0.829222323879231,0.952186642268984,387.32319262361,312.5,167.96875,648.4375,206.545450656716,-4.10509418386596,-8.61125149413762,3.18531712521283,9.92860707376271,4.55961903448263,0,A
3,1,1.7318125,1.5988125,0.105,0.970461394106714,0.923201847775091,0.98383196795265,387.212412910136,339.84375,171.875,242.1875,224.054715666936,-7.35687969864476,-7.36965233367317,3.31445978662199,8.16749638822379,5.24748583877183,0,T
4,1,1.43203125,0.97965625,0.4,0.329463623270632,0.684102564102564,0.96342607746863,379.435510939674,371.09375,125,550.78125,206.357274366645,3.81262528835244,-2.3846588273189,3.62945495891533,8.75816690711095,3.55389776219203,0,A
4,1,1.04203125,0.44359375,0.515,0.213728783062436,0.425701004648373,0.919928025191183,350.279695736685,335.9375,207.03125,343.75,233.255490597608,5.52891437254796,1.15710280378396,3.17314179729018,10.5291349040806,3.63565607282009,0,A
4,1,0.9939375,0.43759375,0.45,0.585814443361524,0.44026284348865,0.893007608627302,386.599793028254,363.28125,203.125,382.8125,241.752478912179,2.67954559035872,-4.40517670328289,3.13340098382457,12.4974753514207,6.55378260954861,0,K
4,1,1.0139375,0.59265625,0.375,0.617530126051715,0.584509646797756,0.954354928188374,402.832989069442,378.90625,195.3125,378.90625,241.139022130254,0.24312404279585,-4.6722255132366,3.43454664734279,11.3979222661944,7.58622593493488,0,A
4,1,1.1005625,0.740687499999999,0.34,0.761407194979982,0.673008120847293,0.98194105287069,435.836593723041,378.90625,195.3125,421.875,245.993497246231,-2.05126665331746,-5.90652123448944,3.57267869502783,11.2568353063687,7.12382136998586,0,A
4,1,1.64540625,1.48775,0.145,0.711417935959281,0.904183997113175,0.992308130590849,419.484027894875,347.65625,195.3125,359.375,225.429243522114,-5.68163400212076,-5.35331613930651,3.56137262649551,11.7650302740759,5.6088521978936,0,A
5,2,0.79434375,0.36871875,0.38,0.531510621557828,0.464180337542783,0.94256264998623,378.27267272063,316.40625,175.78125,332.03125,206.654194971265,1.44617459707479,-5.16046798698494,3.69531755567826,9.84230212700774,5.39048422414137,0,P
